name,type,star_rating,review_sum,address,contact,url
슈프림,패션,4.43,97,서울 중구 장충단로 280 지하상가 4-73호,정보 없음,https://pcmap.place.naver.com/place/1122705877/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142490940
여성빅사이즈 지존 두타,여성의류,4.43,97,서울 중구 장충단로 275 두타 3층 14호,02-3398-6014,https://pcmap.place.naver.com/place/35830762/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142498714
운선제한복 종로점,한복,4.44,261,서울 종로구 종로 199,02-742-2097,https://pcmap.place.naver.com/place/20136228/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142503973
유니클로 광화문 D-TOWER점,캐주얼웨어,4.26,정보 없음,서울 종로구 종로3길 17 D타워 광화문 1~2층,02-2251-8202,https://pcmap.place.naver.com/place/37815201/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142509817
Neared,구제의류,4.26,정보 없음,서울 종로구 돈화문로11다길 26 1층 Neared,0507-1343-6645,https://pcmap.place.naver.com/place/1065506926/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142515318
알라모다 종로점,남성정장,4.42,94,"서울 종로구 종로 121-1 2, 3층",02-766-4285,https://pcmap.place.naver.com/place/36342751/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142521022
아티플로 맞춤정장예복 종로본점,남성정장,4.95,정보 없음,서울 종로구 종로 122 3~4층,0507-1324-2862,https://pcmap.place.naver.com/place/1311763017/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142526240
버윅 서울파이낸스센터점,수제화,4.95,정보 없음,서울 중구 세종대로 136 파이낸스빌딩 B1 102호,02-318-0511,https://pcmap.place.naver.com/place/1160519662/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142531784
바인드 현대시티아울렛동대문점,캐주얼웨어,4.37,53,서울 중구 장충단로13길 20 B1 바인드,0507-1462-2504,https://pcmap.place.naver.com/place/162326769/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142536916
비스포크라인 맞춤정장예복 종로본점,남성정장,4.43,472,"서울 종로구 종로 183 효성주얼리시티 지하2층 S32, 33, 34호",0507-1440-4966,https://pcmap.place.naver.com/place/38018816/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142542299
반니비스포크 명동점,남성정장,4.57,988,서울 중구 삼일대로 363 장교빌딩 지하1층,02-774-8080,https://pcmap.place.naver.com/place/13486664/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142547453
오니츠카타이거 동대문점,신발,4.87,273,서울 중구 장충단로 275 두산타워 지하 1층,02-3398-5112,https://pcmap.place.naver.com/place/31016186/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142552589
종로맞춤정장 에반테일러,남성정장,4.44,73,서울 종로구 종로 183 효성 주얼리타운 지하1층 J350 에반테일러,02-742-3701,https://pcmap.place.naver.com/place/966470951/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142557720
실크루트,한복,4.95,728,서울 종로구 종로 183 효성주얼리시티 2층 91호,02-2273-9285,https://pcmap.place.naver.com/place/20027434/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142562921
동대문빅사이즈 아이몽 밀리오레,여성의류,4.41,정보 없음,서울 중구 장충단로 263 밀리오레 1층 44호,02-3393-2200,https://pcmap.place.naver.com/place/1628485345/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142568095
룰루레몬 롯데백화점 명동 스토어,기능성의류,4.38,88,서울 중구 남대문로 81 롯데백화점 본점 3층,0507-1338-3329,https://pcmap.place.naver.com/place/1452434860/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142573277
HH vintage,구제의류,4.5,289,서울 종로구 대명길 34 지층,0507-1321-5469,https://pcmap.place.naver.com/place/1509146916/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142578387
에이스아웃도어,"등산,아웃도어",4.47,625,서울 종로구 종로 224-1 2층,02-2247-8848,https://pcmap.place.naver.com/place/11533341/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142583632
로우로우 광장시장점,"가방,핸드백",4.47,625,서울 종로구 창경궁로 88 광장시장 239호,02-2269-2891,https://pcmap.place.naver.com/place/36336607/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142589412
돌실나이 인사점 / 창의문화 갤러리 낳이,한복,4.51,194,서울 종로구 인사동길 35 돌실나이 인사점,0507-1490-2272,https://pcmap.place.naver.com/place/11572639/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142594680
스파오 현대백화점면세점 동대문점,캐주얼웨어,4.4,90,서울 중구 장충단로 275 10층,02-3668-8204,https://pcmap.place.naver.com/place/1965923383/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142599868
연인채,한복,4.56,330,서울 종로구 종로 183 효성주얼리시티 지하1층 326호,02-2274-7844,https://pcmap.place.naver.com/place/38500829/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142605037
신자매만물상 대학로점,패션잡화,4.56,330,서울 종로구 창경궁로 234 동화빌딩 1층 104호,0507-1345-7406,https://pcmap.place.naver.com/place/1891743621/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142610666
트레일헤드 종로5가점,"등산,아웃도어",4.29,290,서울 종로구 동호로38길 24 1층,070-4118-9714,https://pcmap.place.naver.com/place/35592973/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142616439
슬로우스테디클럽 살롱 안국점,캐주얼웨어,4.29,290,서울 종로구 율곡로 84 가든타워 2층,02-725-1301,https://pcmap.place.naver.com/place/35896210/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142622286
캉골 현대시티아울렛동대문점,종합패션,4.64,316,서울 중구 장충단로13길 20 현대시티아울렛 5층,02-2283-2518,https://pcmap.place.naver.com/place/38219702/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142627391
니트,구제의류,4.29,213,서울 중구 장충단로 275 5층 20호,010-8693-1735,https://pcmap.place.naver.com/place/1770969263/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142632487
루이비통 롯데백화점본점 롯데백화점본점,종합패션,정보 없음,301,서울 중구 남대문로 73,정보 없음,https://pcmap.place.naver.com/place/1814159970/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142637795
