name,type_code,type,star_rating,review_total,address_si,address_gu,address_lo,address_detail,area,contact,create_time,lat,lng
피크14,B4,공방,정보 없음,78,서울,종로구,돈화문로5가길,31 4층 401호,jongno,0507-1489-1068,2023-08-20 16:44:15,126.9912937,37.5721544
한솔요리학원 종로점,B4,요리학원,4.26,972,서울,종로구,삼일대로,"395 종로빌딩 6,7,8,9,10층",jongno,0507-1449-3300,2023-08-20 16:44:15,126.9873739,37.5698937
헤이온데이,B4,공방,4.26,972,서울,종로구,충신4나길,28-1,jongno,0507-1433-8021,2023-08-20 16:44:15,127.0078936,37.5769778
클래스온,B4,공방,정보 없음,1,서울,성북구,보문사길,35 101호,jongno,070-4466-5551,2023-08-20 16:44:15,127.0177438,37.5839896
닷클래스,B4,문화센터,정보 없음,0,서울,중구,다산로33길,85,jongno,정보 없음,2023-08-20 16:44:15,127.0106301,37.5640112
프루스트,B4,공방,4.97,0,서울,종로구,창경궁로26길,38-3,jongno,0507-1333-3552,2023-08-20 16:44:15,126.9998699,37.5818068
반지그리기,B4,공방,4.97,0,서울,종로구,인사동길,58 3층 반지그리기,jongno,0507-1436-8013,2023-08-20 16:44:15,126.9837822,37.5751408
반지야놀자 종로본점,B4,공방,5,477,서울,종로구,수표로,105 7층,jongno,0507-1435-1583,2023-08-20 16:44:15,126.9891559,37.5706064
노이모이스튜디오,B4,공방,5,477,서울,종로구,서순라길,129 1층 노이모이스튜디오,jongno,0507-1378-5202,2023-08-20 16:44:15,126.9913238,37.5759478
닛튼,B4,공방,정보 없음,12,서울,중구,을지로11길,29 3층 301호,jongno,0507-1338-7382,2023-08-20 16:44:15,126.9907517,37.5677100
뷰티인아델라,B4,공방,정보 없음,332,서울,종로구,돈화문로5가길,31 4층 402호,jongno,0507-1360-3243,2023-08-20 16:44:15,126.9912937,37.5721544
리을미을 터프팅 공방,B4,공방,정보 없음,10,서울,종로구,종로16길,36 301호 리을미을,jongno,010-5150-9184,2023-08-20 16:44:15,126.9887518,37.5684902
피크14,B4,공방,정보 없음,78,서울,종로구,돈화문로5가길,31 4층 401호,jongno,0507-1489-1068,2023-08-20 16:44:15,126.9912937,37.5721544
메이나인쓰,B4,공방,4.75,420,서울,종로구,돈화문로11나길,18 1층,jongno,010-3460-4564,2023-08-20 16:44:15,126.9906960,37.5736572
무크 터프팅 스튜디오,B4,공방,4.75,420,서울,종로구,돈화문로,72 지하1층,jongno,0507-1385-6991,2023-08-20 16:44:15,126.9910570,37.5749039
더 샤드 포슬린,B4,도자기,4.77,171,서울,종로구,돈화문로,65,jongno,0507-1360-7008,2023-08-20 16:44:15,126.9908703,37.5742708
가죽공방 아피체 스튜디오,B4,공방,4.77,171,서울,종로구,동순라길,126-3 대경빌딩 304호,jongno,정보 없음,2023-08-20 16:44:15,126.9963104,37.5758342
HANDUS 한나래그릇작업실,B4,공방,정보 없음,61,서울,종로구,북촌로1길,30-4,jongno,02-722-5064,2023-08-20 16:44:15,126.9842532,37.5775137
메이드인러브,B4,공방,정보 없음,127,서울,종로구,성균관로,"8-1 2f, first door",jongno,0507-1362-3207,2023-08-20 16:44:15,126.9982342,37.5837024
익선공방,B4,공방,정보 없음,2,서울,종로구,삼일대로26길,25,jongno,010-3771-1306,2023-08-20 16:44:15,126.9891875,37.5735523
드로잉제인,B4,공방,정보 없음,5,서울,중구,남대문로10길,"28 8층,드로잉제인",jongno,0507-1321-6576,2023-08-20 16:44:15,126.9842402,37.5674459
에모뜨,B4,공방,정보 없음,0,서울,중구,을지로18길,18 2층 에모뜨,jongno,0507-1464-0371,2023-08-20 16:44:15,126.9944851,37.5657027
아로마포레스트 동대문점,B4,향수공방,4.98,304,서울,중구,장충단로,247 9층 아로마포레스트 동대문점,jongno,0507-1473-5159,2023-08-20 16:44:15,127.0073812,37.5668017
닷,B4,공방,4.98,304,서울,중구,충무로,49-1 죽전빌딩 401호,jongno,0507-1317-1449,2023-08-20 16:44:15,126.9925328,37.5656302
배스랩,B4,공방,정보 없음,81,서울,중구,을지로18길,10 2층 203호,jongno,0507-1349-6985,2023-08-20 16:44:15,126.9946820,37.5660797
아뜰리에나훔,B4,공방,정보 없음,8,서울,종로구,창신5길,24,jongno,0507-1301-9437,2023-08-20 16:44:15,127.0118655,37.5739034
니어 이든,B4,공방,정보 없음,8,서울,중구,퇴계로,370 니어 이든,jongno,0507-1377-1827,2023-08-20 16:44:15,127.0126365,37.5647864
가죽공방 레더레스트,B4,공방,정보 없음,67,서울,종로구,성균관로,19 302호 가죽공방 레더레스트,jongno,0507-1402-0138,2023-08-20 16:44:15,126.9973508,37.5843957
아로마포레스트 명동,B4,향수공방,4.98,0,서울,중구,마른내로4길,10 정산빌딩 5층 501호,jongno,0507-1479-1435,2023-08-20 16:44:15,126.9938168,37.5638733
SYLK,B4,공방,4.98,0,서울,종로구,창경궁로,253-7 어젤리아명륜2 2층 33호,jongno,0507-1388-2544,2023-08-20 16:44:15,126.9995284,37.5844227
플롬,B4,공방,정보 없음,0,서울,종로구,충신4나길,28-1 1층 상가(코너),jongno,0507-1484-6901,2023-08-20 16:44:15,127.0078936,37.5769778
동림매듭공방,B4,박물관,정보 없음,43,서울,종로구,북촌로12길,10,jongno,02-3673-2778,2023-08-20 16:44:15,126.9855901,37.5818094
손놀림공방,B4,가죽제품제작,정보 없음,8,서울,종로구,낙산성곽서1길,19-1,jongno,0507-1318-4704,2023-08-20 16:44:15,127.0079379,37.5779071
08스튜디오,B4,공방,4.55,86,서울,종로구,혜화로,13 1층 08스튜디오,jongno,0507-1352-5316,2023-08-20 16:44:15,126.9999655,37.5866829
디셈브레 안국,B4,공방,4.55,86,서울,종로구,북촌로5가길,8-7,jongno,0507-1445-7720,2023-08-20 16:44:15,126.9824388,37.5802338
SWU스튜디오,B4,공방,정보 없음,1,서울,종로구,청계천로,159 세운상가 7층,jongno,정보 없음,2023-08-20 16:44:15,126.9952397,37.5692839
오우공방,B4,공방,4.53,34,서울,중구,을지로,138-1,jongno,0507-1435-3396,2023-08-20 16:44:15,126.9932873,37.5662023
로파파레더,B4,공방,4.53,34,서울,종로구,지봉로17길,12-1 1층 1호 가죽공방,jongno,0507-1392-9969,2023-08-20 16:44:15,127.0144239,37.5797662
을지화실,B4,공방,정보 없음,68,서울,중구,을지로16길,35 조광빌딩 501호,jongno,010-5787-6776,2023-08-20 16:44:15,126.9935325,37.5648538
디앤나잇,B4,공방,정보 없음,21,서울,종로구,창경궁로29길,36 2층,jongno,0507-1391-0172,2023-08-20 16:44:15,126.9973774,37.5841850
카넬라,B4,공방,정보 없음,169,서울,종로구,계동4길,10-6,jongno,0507-1425-0127,2023-08-20 16:44:15,126.9873004,37.5820010
식물이 좋아서,B4,공방,정보 없음,17,서울,종로구,계동길,98 2층,jongno,0507-1331-1106,2023-08-20 16:44:15,126.9868679,37.5816975
요호,B4,공방,4.96,202,서울,중구,퇴계로,159-6 3층 요호,jongno,0507-1484-0906,2023-08-20 16:44:15,126.9899125,37.5616543
미묘한 균형,B4,공방,4.96,202,서울,성북구,보문로21가길,29 지층 미묘한 균형,jongno,0507-1445-7990,2023-08-20 16:44:15,127.0187117,37.5815341
랩포터리,B4,공방,5,87,서울,중구,퇴계로56길,26 102호,jongno,0507-1385-8605,2023-08-20 16:44:15,127.0059069,37.5626501
hhhh.note,B4,공방,5,87,서울,종로구,필운대로,41 2층,jongno,0507-1398-6215,2023-08-20 16:44:15,126.9686012,37.5797223
오브지 세라믹스튜디오,B4,공방,정보 없음,0,서울,중구,퇴계로41길,45 3층 301,jongno,010-2211-1579,2023-08-20 16:44:15,126.9954403,37.5638532
삼월의 작업실,B4,공방,정보 없음,13,서울,종로구,자하문로30길,9 101호,jongno,02-732-8111,2023-08-20 16:44:15,126.9706629,37.5856721
베르씨빌라쥬,B4,공방,4.45,88,서울,종로구,자하문로5길,25,jongno,010-2063-3126,2023-08-20 16:44:15,126.9704161,37.5776782
마스터.케이가죽공방,B4,공방,4.45,88,서울,중구,남대문시장4길,9 대도종합상가 D동 1층 34호,jongno,010-4949-1282,2023-08-20 16:44:15,126.9776836,37.5596705
