name,type_code,type,star_rating,review_total,address_si,address_gu,address_lo,address_detail,area,contact,url,create_time,lat,lng,naver_place_id
대학로티오엠,F1,공연장,정보 없음,0,서울,종로구,대학로8가길,85,jongno,1544-8303,https://pcmap.place.naver.com/place/35445215/home?entry=bmp&from=map&fromPanelNum=2&x=127.003650399636&y=37.582296801186104&timestamp=202309071846,2023-09-07 18:45:56,127.0036635,37.5822771,35445215
대학로뮤지컬센터,F1,공연장,정보 없음,298,서울,종로구,동숭길,100,jongno,02-2135-1507,https://pcmap.place.naver.com/place/31083295/home?entry=bmp&from=map&fromPanelNum=2&x=127.00431949965198&y=37.582920801049795&timestamp=202309071846,2023-09-07 18:45:56,127.0042712,37.5828444,31083295
남뮤지컬아카데미,F1,연기학원,정보 없음,194,서울,종로구,대학로8가길,80 리트모빌딩 4층,jongno,02-3472-9318,https://pcmap.place.naver.com/place/13542897/home?entry=bmp&from=map&fromPanelNum=2&x=127.0032706&y=37.582535&timestamp=202309071846,2023-09-07 18:45:56,127.0032821,37.5824727,13542897
뮤지컬점프,F1,공연장,3.81,97,서울,중구,마른내로,47,jongno,02-722-3995,https://pcmap.place.naver.com/place/11888615/home?entry=bmp&from=map&fromPanelNum=2&x=126.99320059953699&y=37.56469790118128&timestamp=202309071846,2023-09-07 18:45:56,126.9932319,37.5647074,11888615
뮤지컬넌센스,F1,극단,정보 없음,41,서울,종로구,대학로,144 중원빌딩 지하2층 203호,jongno,02-741-1234,https://pcmap.place.naver.com/place/19753619/home?entry=bmp&from=map&fromPanelNum=2&x=127.00206450052&y=37.5840005000888&timestamp=202309071846,2023-09-07 18:45:56,127.0020846,37.5839822,19753619
뮤지컬컴퍼니에이,F1,영화제작업,정보 없음,0,서울,종로구,인사동4길,17,jongno,02-749-8942,https://pcmap.place.naver.com/place/38709040/home?entry=bmp&from=map&fromPanelNum=2&x=126.9865432&y=37.5738362&timestamp=202309071846,2023-09-07 18:45:56,126.9866553,37.5739753,38709040
케이에스앤엔터테인먼트,F1,공연장,정보 없음,16,서울,종로구,삼일대로,386 시네코아,jongno,02-2637-2777,https://pcmap.place.naver.com/place/34069491/home?entry=bmp&from=map&fromPanelNum=2&x=126.98822270017298&y=37.56900800059239&timestamp=202309071846,2023-09-07 18:45:56,126.9881159,37.5689521,34069491
서울시뮤지컬단,F1,연극,정보 없음,3,서울,종로구,세종대로,175,jongno,02-399-1772,https://pcmap.place.naver.com/place/18664500/home?entry=bmp&from=map&fromPanelNum=2&x=126.97563590000001&y=37.5724616&timestamp=202309071847,2023-09-07 18:45:56,126.9761683,37.5718479,18664500
과수원뮤지컬컴퍼니,F1,극단,정보 없음,9,서울,종로구,대학로10길,15-15,jongno,정보 없음,https://pcmap.place.naver.com/place/1844318025/home?entry=bmp&from=map&fromPanelNum=2&x=127.0028445&y=37.5824811&timestamp=202309071847,2023-09-07 18:45:56,127.0028445,37.5824811,1844318025
IMT뮤지컬스튜디오,F1,극단,정보 없음,12,서울,중구,다산로,207 태정빌딩 4층,jongno,0507-1369-9727,https://pcmap.place.naver.com/place/12041629/home?entry=bmp&from=map&fromPanelNum=2&x=127.01445507249102&y=37.5618343288653&timestamp=202309071847,2023-09-07 18:45:56,127.0144120,37.5618195,12041629
