name,type,star_rating,review_sum,address,contact,url,create_time
새로오픈,남영동양문 종로점,정보 없음,123,서울 종로구 삼일대로19길 22 1층~3층,02-737-5887,https://pcmap.place.naver.com/restaurant/1473695515/home?entry=bmp&from=map&fromPanelNum=2&x=126.986364&y=37.5696664&timestamp=202309071751,2023-09-07 17:49:45
미도갈비,"육류,고기요리",4.74,정보 없음,서울 종로구 삼일대로15길 25 1층,010-9741-9233,https://pcmap.place.naver.com/restaurant/1264295690/home?entry=bmp&n_ad_group_type=10&n_query=%EC%A2%85%EB%A1%9C%EC%8B%9D%EB%8B%B9&from=map&fromPanelNum=2&x=126.98614627818158&y=37.56879187791152&timestamp=202309071752,2023-09-07 17:49:45
반기다,퓨전음식,4.53,정보 없음,서울 종로구 익선동 166-52,0507-1314-6511,https://pcmap.place.naver.com/restaurant/1337452676/home?entry=bmp&n_ad_group_type=10&n_query=%EC%A2%85%EB%A1%9C%EC%8B%9D%EB%8B%B9&from=map&fromPanelNum=2&x=126.98931396987683&y=37.5736738452197&timestamp=202309071752,2023-09-07 17:49:45
부촌육회 본점,"육류,고기요리",4.51,정보 없음,서울 종로구 종로 200-12,02-2267-1831,https://pcmap.place.naver.com/restaurant/36428555/home?entry=bmp&from=map&fromPanelNum=2&x=126.99991664157918&y=37.57041098666043&timestamp=202309071752,2023-09-07 17:49:45
새로오픈,유메오뎅 을지로,정보 없음,147,서울 중구 을지로12길 7 유메오뎅,0507-1412-1182,https://pcmap.place.naver.com/restaurant/1560086919/home?entry=bmp&from=map&fromPanelNum=2&x=126.9913269&y=37.5658534&timestamp=202309071752,2023-09-07 17:49:45
오죽이네,닭요리,4.49,정보 없음,서울 종로구 돈화문로11가길 25,02-741-8874,https://pcmap.place.naver.com/restaurant/19418573/home?entry=bmp&from=map&fromPanelNum=2&x=126.9908395&y=37.5738124&timestamp=202309071752,2023-09-07 17:49:45
새로오픈,월가갈비,정보 없음,380,서울 중구 세종대로18길 22 1층,0507-1368-9414,https://pcmap.place.naver.com/restaurant/1820419594/home?entry=bmp&from=map&fromPanelNum=2&x=126.9783812&y=37.5637232&timestamp=202309071752,2023-09-07 17:49:45
진옥화할매원조닭한마리,닭요리,4.31,정보 없음,서울 종로구 종로40가길 18,02-2275-9666,https://pcmap.place.naver.com/restaurant/11619295/home?entry=bmp&from=map&fromPanelNum=2&x=127.00573890000001&y=37.57035&timestamp=202309071752,2023-09-07 17:49:45
오마카세 오사이초밥 광화문점,"초밥,롤",정보 없음,정보 없음,서울 종로구 종로 19 르메이에르종로타운 2층 213호,0507-1403-8822,https://pcmap.place.naver.com/restaurant/1539404510/home?entry=bmp&from=map&fromPanelNum=2&x=126.9798606&y=37.5708345&timestamp=202309071752,2023-09-07 17:49:45
혜화도담,한식,4.53,정보 없음,서울 종로구 대명1길 16-6 혜화도담,0507-1343-0074,https://pcmap.place.naver.com/restaurant/1638640485/home?entry=bmp&from=map&fromPanelNum=2&x=127.0004462&y=37.5830363&timestamp=202309071752,2023-09-07 17:49:45
청와옥 을지로3가직영점,"순대,순댓국",4.43,정보 없음,서울 중구 을지로 110 1층 1호,0507-1448-1309,https://pcmap.place.naver.com/restaurant/1319831936/home?entry=bmp&from=map&fromPanelNum=2&x=126.99006562158098&y=37.56608276126371&timestamp=202309071752,2023-09-07 17:49:45
호호식당 익선,일식당,4.5,정보 없음,서울 종로구 익선동 170-1,0507-1315-2384,https://pcmap.place.naver.com/restaurant/1765213815/home?entry=bmp&from=map&fromPanelNum=2&x=126.99043790520706&y=37.5730235777396&timestamp=202309071752,2023-09-07 17:49:45
원조순희네빈대떡,"전,빈대떡",4.37,정보 없음,서울 종로구 종로32길 5,02-2264-5057,https://pcmap.place.naver.com/restaurant/11619260/home?entry=bmp&from=map&fromPanelNum=2&x=127.00072940053323&y=37.570594198214316&timestamp=202309071752,2023-09-07 17:49:45
촌놈,돼지고기구이,4.47,정보 없음,서울 종로구 대학로8가길 48,0507-1336-1011,https://pcmap.place.naver.com/restaurant/11867483/home?entry=bmp&from=map&fromPanelNum=2&x=127.00234790000295&y=37.58295749999991&timestamp=202309071752,2023-09-07 17:49:45
을지로 골목집,술집,4.34,정보 없음,서울 중구 수표로 48-3 1층,02-2275-0405,https://pcmap.place.naver.com/restaurant/1141746485/home?entry=bmp&from=map&fromPanelNum=2&x=126.990142195643&y=37.56558459302949&timestamp=202309071752,2023-09-07 17:49:45
장수하늘소,소고기구이,4.62,1363,서울 종로구 인사동길 34-1,0507-1374-9929,https://pcmap.place.naver.com/restaurant/1725956672/home?entry=bmp&from=map&fromPanelNum=2&x=126.9856335999997&y=37.573811800000065&timestamp=202309071752,2023-09-07 17:49:45
대련집,"칼국수,만두",4.36,정보 없음,서울 종로구 종로16길 37,02-2265-5349,https://pcmap.place.naver.com/restaurant/11850242/home?entry=bmp&from=map&fromPanelNum=2&x=126.9889029&y=37.5683895&timestamp=202309071752,2023-09-07 17:49:45
갸우뚱,중식당,4.57,정보 없음,서울 종로구 대학로9길 25,0507-1476-9037,https://pcmap.place.naver.com/restaurant/1854089051/home?entry=bmp&from=map&fromPanelNum=2&x=127.00043728440009&y=37.58161407875018&timestamp=202309071753,2023-09-07 17:49:45
금돼지식당,돼지고기구이,4.4,정보 없음,서울 중구 다산로 149,0507-1307-8750,https://pcmap.place.naver.com/restaurant/37869877/home?entry=bmp&from=map&fromPanelNum=2&x=127.01169769999962&y=37.55709329999999&timestamp=202309071753,2023-09-07 17:49:45
남포면옥,냉면,4.22,정보 없음,서울 중구 을지로3길 24,02-777-2269,https://pcmap.place.naver.com/restaurant/11664585/home?entry=bmp&from=map&fromPanelNum=2&x=126.98159989411984&y=37.56713963293418&timestamp=202309071753,2023-09-07 17:49:45
청기와타운 종로점,"육류,고기요리",정보 없음,391,서울 종로구 삼일대로17길 19 1층,0507-1370-7843,https://pcmap.place.naver.com/restaurant/1518855883/home?entry=bmp&from=map&fromPanelNum=2&x=126.9863525&y=37.569093&timestamp=202309071753,2023-09-07 17:49:45
모던샤브하우스 광화문D타워점,샤브샤브,4.64,정보 없음,서울 종로구 종로3길 17 D타워 리플레이스 광화문 5층,02-2251-8501,https://pcmap.place.naver.com/restaurant/1838141891/home?entry=bmp&from=map&fromPanelNum=2&x=126.9789694&y=37.5710184&timestamp=202309071753,2023-09-07 17:49:45
진작,일식당,4.46,정보 없음,서울 중구 수표로12길 12,0507-1364-4484,https://pcmap.place.naver.com/restaurant/1323525758/home?entry=bmp&from=map&fromPanelNum=2&x=126.99082164294768&y=37.564030079834076&timestamp=202309071753,2023-09-07 17:49:45
최가네황소곱창,"곱창,막창,양",4.44,1205,서울 종로구 돈화문로4길 27 최가네황소곱창,02-2274-6683,https://pcmap.place.naver.com/restaurant/35418432/home?entry=bmp&from=map&fromPanelNum=2&x=126.99386450000031&y=37.57013420000027&timestamp=202309071753,2023-09-07 17:49:45
한사발,한식,정보 없음,921,서울 종로구 대명길 19-8 1층,010-4642-3785,https://pcmap.place.naver.com/restaurant/1754181863/home?entry=bmp&from=map&fromPanelNum=2&x=127.0006644&y=37.5830352&timestamp=202309071753,2023-09-07 17:49:45
르템플,요리주점,4.22,정보 없음,서울 중구 충무로7길 2 1층,02-2263-7575,https://pcmap.place.naver.com/restaurant/1328581940/home?entry=bmp&from=map&fromPanelNum=2&x=126.99243039999901&y=37.5659073999969&timestamp=202309071753,2023-09-07 17:49:45
정원레스토랑 어반가든,"스테이크,립",4.15,정보 없음,서울 중구 정동길 12-15,02-777-2254,https://pcmap.place.naver.com/restaurant/11736109/home?entry=bmp&from=map&fromPanelNum=2&x=126.9692254&y=37.5674386&timestamp=202309071753,2023-09-07 17:49:45
육미안 혜화점,소고기구이,4.42,1528,서울 종로구 창경궁로 246-4 1층 육미안,0507-1449-1611,https://pcmap.place.naver.com/restaurant/1718133788/home?entry=bmp&from=map&fromPanelNum=2&x=126.9993945&y=37.5832566&timestamp=202309071753,2023-09-07 17:49:45
이문설렁탕,"곰탕,설렁탕",4.25,정보 없음,서울 종로구 우정국로 38-13,02-733-6526,https://pcmap.place.naver.com/restaurant/11711983/home?entry=bmp&from=map&fromPanelNum=2&x=126.98390470000048&y=37.572766399999615&timestamp=202309071753,2023-09-07 17:49:45
고기하다,"육류,고기요리",정보 없음,1315,서울 종로구 대학로 133-5 고기하다,0507-1462-9314,https://pcmap.place.naver.com/restaurant/1773040934/home?entry=bmp&from=map&fromPanelNum=2&x=127.0013669&y=37.5829527&timestamp=202309071753,2023-09-07 17:49:45
도마,"백반,가정식",4.51,정보 없음,서울 종로구 인사동8길 6-1,02-733-9376,https://pcmap.place.naver.com/restaurant/494627193/home?entry=bmp&from=map&fromPanelNum=2&x=126.98583471585624&y=37.5738126073718&timestamp=202309071753,2023-09-07 17:49:45
새로오픈,탭샵바 청계천삼일빌딩,정보 없음,164,서울 종로구 청계천로 85 삼일빌딩 지하1층,0507-1331-4095,https://pcmap.place.naver.com/restaurant/1619947949/home?entry=bmp&from=map&fromPanelNum=2&x=126.9871596&y=37.5686402&timestamp=202309071754,2023-09-07 17:49:45
칸다소바,일본식라면,4.48,정보 없음,서울 종로구 대학로 131-1,0507-1364-1662,https://pcmap.place.naver.com/restaurant/1228101335/home?entry=bmp&from=map&fromPanelNum=2&x=127.00138409999998&y=37.5829010000003&timestamp=202309071754,2023-09-07 17:49:45
