name,type,star_rating,review_sum,address,contact,url,create_time
야젠 1호점,이자카야,정보 없음,545,정보 없음,정보 없음,https://pcmap.place.naver.com/restaurant/37633182/photo?entry=bmp&n_ad_group_type=10&n_query=%EC%A2%85%EB%A1%9C%EC%88%A0%EC%A7%91&from=map&fromPanelNum=2&x=127.00020726577195&y=37.57155902739453&timestamp=202309071759,2023-09-07 17:59:08
몽롱 종각점,요리주점,정보 없음,511,서울 종로구 삼일대로17길 42-1 1~4층 몽롱,0507-1479-6024,https://pcmap.place.naver.com/restaurant/1733475379/home?entry=bmp&n_ad_group_type=10&n_query=%EC%A2%85%EB%A1%9C%EC%88%A0%EC%A7%91&from=map&fromPanelNum=2&x=126.98507989999977&y=37.56936689999982&timestamp=202309071759,2023-09-07 17:59:08
종로술집,"맥주,호프",정보 없음,24,서울 종로구 율곡로8길 101 지하1층,0507-1437-0890,https://pcmap.place.naver.com/restaurant/1106172226/home?entry=bmp&from=map&fromPanelNum=2&x=126.9919262&y=37.5728242&timestamp=202309071759,2023-09-07 17:59:08
을지로 골목집,술집,4.34,정보 없음,서울 중구 수표로 48-3 1층,02-2275-0405,https://pcmap.place.naver.com/restaurant/1141746485/home?entry=bmp&from=map&fromPanelNum=2&x=126.990142195643&y=37.56558459302949&timestamp=202309071800,2023-09-07 17:59:08
만선호프 노가리체인본점,"맥주,호프",4.26,정보 없음,서울 중구 을지로13길 19,02-2274-1040,https://pcmap.place.naver.com/restaurant/13492518/home?entry=bmp&from=map&fromPanelNum=2&x=126.991800100005&y=37.56728419999601&timestamp=202309071800,2023-09-07 17:59:08
04판,요리주점,정보 없음,577,서울 종로구 대명1길 21,0507-1318-1711,https://pcmap.place.naver.com/restaurant/1409207151/home?entry=bmp&from=map&fromPanelNum=2&x=127.00091750000001&y=37.58272760091219&timestamp=202309071800,2023-09-07 17:59:08
동화,요리주점,4.7,860,서울 종로구 대명1길 16-6 2층 동화,0507-1417-8351,https://pcmap.place.naver.com/restaurant/1669566053/home?entry=bmp&from=map&fromPanelNum=2&x=127.0004499&y=37.5830328&timestamp=202309071800,2023-09-07 17:59:08
해물점1978,포장마차,4.72,878,서울 종로구 청계천로 63-1 1층,0507-1349-1978,https://pcmap.place.naver.com/restaurant/1622164906/home?entry=bmp&from=map&fromPanelNum=2&x=126.9846629&y=37.56882819999999&timestamp=202309071800,2023-09-07 17:59:08
하구,요리주점,정보 없음,548,서울 종로구 돈화문로11나길 26-18 하구,0507-1342-5767,https://pcmap.place.naver.com/restaurant/1054946367/home?entry=bmp&from=map&fromPanelNum=2&x=126.9907127&y=37.573743&timestamp=202309071800,2023-09-07 17:59:08
서울집시,"맥주,호프",4.5,1147,서울 종로구 서순라길 107,02-743-1212,https://pcmap.place.naver.com/restaurant/1311007811/home?entry=bmp&from=map&fromPanelNum=2&x=126.9915567&y=37.5750389&timestamp=202309071800,2023-09-07 17:59:08
서울88맥주,"맥주,호프",4.53,788,서울 종로구 율곡로8길 102 1층 서울88맥주,0507-1494-4441,https://pcmap.place.naver.com/restaurant/1883490486/home?entry=bmp&from=map&fromPanelNum=2&x=126.991661002326&y=37.57276728859789&timestamp=202309071800,2023-09-07 17:59:08
원조만선호프,"맥주,호프",4.3,1104,서울 중구 충무로9길 14,정보 없음,https://pcmap.place.naver.com/restaurant/1566105397/home?entry=bmp&from=map&fromPanelNum=2&x=126.99151991934&y=37.56719230103079&timestamp=202309071800,2023-09-07 17:59:08
아담집,이자카야,4.63,294,서울 종로구 돈화문로11나길 22 서울 종로구 돈화문로11나길 26-3,0507-1424-2358,https://pcmap.place.naver.com/restaurant/1504364153/home?entry=bmp&from=map&fromPanelNum=2&x=126.9905499&y=37.5737224&timestamp=202309071800,2023-09-07 17:59:08
JH텍사스바,"맥주,호프",4.33,1137,서울 중구 무교로 32 효령빌딩,0507-1378-0805,https://pcmap.place.naver.com/restaurant/38274835/home?entry=bmp&from=map&fromPanelNum=2&x=126.97950800000301&y=37.56881200090899&timestamp=202309071800,2023-09-07 17:59:08
행아웃,"맥주,호프",4.38,829,서울 종로구 돈화문로11다길 29,0507-1304-3624,https://pcmap.place.naver.com/restaurant/1651691942/home?entry=bmp&from=map&fromPanelNum=2&x=126.9903266&y=37.5735584&timestamp=202309071800,2023-09-07 17:59:08
주마등,요리주점,정보 없음,1062,"서울 중구 충무로5길 23 1층, 2층",0507-1362-6755,https://pcmap.place.naver.com/restaurant/1003545719/home?entry=bmp&from=map&fromPanelNum=2&x=126.9914005&y=37.56534860000001&timestamp=202309071800,2023-09-07 17:59:08
술비,요리주점,정보 없음,245,서울 종로구 대학로14길 17 1층 술비,0507-1369-7415,https://pcmap.place.naver.com/restaurant/1123934065/home?entry=bmp&from=map&fromPanelNum=2&x=127.0024874&y=37.5841382&timestamp=202309071801,2023-09-07 17:59:08
독일주택,술집,4.51,1347,서울 종로구 대명1길 16-4,02-742-1933,https://pcmap.place.naver.com/restaurant/35457552/home?entry=bmp&from=map&fromPanelNum=2&x=127.0005366&y=37.5829872&timestamp=202309071801,2023-09-07 17:59:08
몽롱 종각점,요리주점,정보 없음,511,서울 종로구 삼일대로17길 42-1 1~4층 몽롱,0507-1479-6024,https://pcmap.place.naver.com/restaurant/1733475379/home?entry=bmp&from=map&fromPanelNum=2&x=126.98507989999977&y=37.56936689999982&timestamp=202309071801,2023-09-07 17:59:08
